COLEC12
CD248
MRC2
CD93
PECAM1
LAYN
FREM1
LGALS1
CLEC7A
OLR1
VCAN
MRC1
CLEC11A
PILRA
SIGLEC1
CLEC2B
CLEC14A
CD209
CLEC5A
CD69
SELP
SIGLEC14
SIGLEC10
COLEC11
KLRD1
SIGLEC6
CLEC12A
KLRG1
SIGLEC9
CHI3L1
SIGLEC8
NCAM1
CLEC1A
SELL
CD72
FCN1
CLEC10A
CLEC4A
CLEC4E
CD33
ACAN
KLRB1
SIGLEC7
CD22
SELE
SIGLEC5
KLRC2
CLEC9A
PLA2R1
KLRC1
CD207
KLRC3
CLECL1
CLEC4D
CLEC12B
FCN3
CLEC1B
KLRC4
CLEC6A
CLEC3B
CD302
THBD
SIGLEC12
